Label,Threat_v2,Flow Packets/s,Flow Bytes/s,Flow Duration,Total Fwd Packets,Total Backward Packets
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,18348.62385,110091.7431,109,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,38461.53846,230769.2308,52,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,58823.52941,352941.1765,34,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,1956.947162,11741.68297,1022,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,3000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,47619.04762,285714.2857,42,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,3000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,9250000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2000000.0,37000000.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,9250000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,1000000.0,14300000.0,3,3,0
BENIGN,ALERT: HIGH_PACKET_RATE,37037.03704,0.0,54,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,2000000.0,0.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,12987.01299,0.0,154,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,2000000.0,0.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,16949.15254,0.0,118,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,8368.200837,0.0,239,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,3000000.0,0.0,1,3,0
BENIGN,ALERT: HIGH_PACKET_RATE,2000000.0,0.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,62000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,600000.0,50800000.0,5,3,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,3000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,750000.0,10800000.0,4,3,0
BENIGN,ALERT: HIGH_PACKET_RATE,37037.03704,0.0,54,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,71428.57143,1023809.524,42,3,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,9250000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,4070.556309,58344.64043,737,2,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,12300000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,10869.56522,155797.1014,276,3,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2000000.0,12000000.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,19047.61905,114285.7143,105,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,30303.0303,181818.1818,66,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,29411.76471,176470.5882,68,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,41666.66667,250000.0,48,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,125000.0,750000.0,16,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,31746.03175,190476.1905,63,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,117647.0588,705882.3529,17,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,16260.1626,97560.97561,123,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,3000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,500000.0,3000000.0,4,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,40816.32653,244897.9592,49,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,43478.26087,0.0,46,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,40816.32653,244897.9592,49,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,32258.06452,0.0,62,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,17142.85714,102857.1429,175,2,1
BENIGN,ALERT: HIGH_PACKET_RATE,54054.05405,0.0,37,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,666666.6667,4000000.0,3,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,20833.33333,125000.0,96,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2000000.0,12000000.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,41666.66667,250000.0,48,2,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2000000.0,12000000.0,1,2,0
